training/training	SRR5891912	SRR5892053	SRR10741173	SRR5891909	SRR5891915	SRR5891916	SRR8835143	SRR5891950	SRR5891951	SRR5892016	SRR5892018	SRR5892021	SRR14617990	SRR14618001	SRR14618012	SRR14618021	SRR14618023	SRR14618024	SRR14618026	SRR14618038	SRR14618039	SRR14618054	SRR14618074	SRR14618085	SRR14618087	SRR14618090	SRR14618101	SRR5891914	SRR14617991	SRR14618014	SRR14618016	SRR14618017	SRR14618019	SRR14618070	SRR14618071	SRR14618072	SRR14618073	SRR14618075	SRR14618079	SRR14618081	SRR14618082	SRR14618084	SRR14618086	SRR5891799	SRR5891805	SRR5891903	SRR5891920	SRR8835167	SRR5891873	SRR5891700	SRR5891755	SRR14617982	SRR14617985	SRR14617986	SRR14618040	SRR14618041	SRR14618042	SRR14618044	SRR14618046	SRR14618047	SRR14618057	SRR14618110	SRR14618111	SRR5891919	SRR10741171	SRR10741172	SRR11078313	SRR14617983	SRR14617999	SRR14618011	SRR14618015	SRR14618030	SRR14618045	SRR14618049	SRR14618050	SRR14618053	SRR14618055	SRR14618056	SRR14618059	SRR14618064	SRR14618065	SRR14618107	SRR7662554	SRR7662556	SRR8699312	SRR11078309	SRR11078312	SRR5891798	SRR5891917	SRR5892051	SRR7662543	SRR7662555	SRR7662546	SRR7662555	SRR14618103	SRR14618104	SRR14618105	SRR14618108	SRR14617989	SRR14617996	SRR14617997	SRR14617998	SRR14618000	SRR14618003	SRR14618005	SRR14618006	SRR14618008	SRR14618009	SRR14618010	SRR14618061	SRR14618062	SRR14618066	SRR14618067	SRR14618068	SRR14618031	SRR14618032	SRR14618033	SRR14618034	SRR14618088	SRR14618089	SRR14618091	SRR14618092	SRR14618094	SRR14618095	SRR14618096	SRR14618097	SRR14618099	SRR14618100	SRR5891622	SRR5627788	SRR10741175	SRR5891650	SRR5891651	SRR5891652	SRR5891653	SRR6156375	SRR8699314	CRR493609	CRR493665	CRR493772	CRR493807	CRR493832	CRR494031	CRR494310	CRR494509	CRR494572	CRR494592	CRR494800	CRR494802	CRR495014	CRR495154	CRR495378	CRR495613	CRR495796	CRR495808	CRR495837	CRR495860	CRR495895	CRR495935	CRR495956	CRR495997	CRR496640	CRR496656	CRR496761	CRR496770	CRR496966	CRR497178	CRR497209	CRR497295	CRR497321	CRR497336	CRR497525	CRR497853	CRR498142	CRR498226	CRR498282	CRR498575	CRR499508	SRR5891628	SRR5891801
SRR14618082	0.30858	0.309444	0.271342	0.333066	0.343613	0.306222	0.271566	0.296399	0.273401	0.296164	0.296793	0.310754	0.319298	0.311093	0.309148	0.313836	0.305506	0.308929	0.30431	0.306345	0.324976	0.306167	0.303116	0.305173	0.30796	0.306185	0.315576	0.31078	0.420106	0.414056	0.420076	0.421333	0.417098	0.424241	0.420763	0.420326	0.416658	0.42304	0.420589	0.407781	1	0.398664	0.406197	0.281285	0.346383	0.321871	0.289363	0.416584	0.311587	0.285549	0.283641	0.329933	0.324568	0.323759	0.321567	0.327257	0.330402	0.321093	0.328101	0.311298	0.333557	0.320157	0.323329	0.324359	0.291925	0.272022	0.252209	0.287021	0.292009	0.267665	0.343166	0.292885	0.301648	0.33419	0.310446	0.303971	0.308007	0.315094	0.260706	0.285005	0.275468	0.286813	0.282636	0.284595	0.297273	0.304569	0.290976	0.299865	0.306243	0.303467	0.290591	0.293523	0.271266	0.293523	0.316722	0.319669	0.324058	0.322628	0.412854	0.307384	0.303635	0.304078	0.310859	0.30268	0.30333	0.30133	0.301347	0.295994	0.309639	0.302783	0.302985	0.307462	0.306303	0.309374	0.308343	0.310599	0.30569	0.306075	0.316702	0.305745	0.309109	0.310875	0.316356	0.305568	0.307118	0.317613	0.322955	0.307314	0.304741	0.167233	0.304139	0.303888	0.311934	0.302743	0.2995	0.303357	0.289689	0.298915	0.30303	0.265036	0.298407	0.30197	0.301072	0.299266	0.293268	0.305139	0.299677	0.301839	0.301604	0.274782	0.26728	0.299135	0.299199	0.300845	0.299588	0.301467	0.302041	0.301968	0.297127	0.299211	0.301564	0.297757	0.303983	0.298493	0.299414	0.31858	0.30144	0.292997	0.312545	0.305932	0.309886	0.304984	0.302213	0.299639	0.302977	0.302761	0.298694	0.295789	0.305031	0.251492
SRR14618084	0.290693	0.291952	0.252765	0.317172	0.318963	0.286506	0.256193	0.282826	0.259875	0.280579	0.2818	0.295562	0.302671	0.292852	0.290637	0.295895	0.286915	0.290683	0.285944	0.287772	0.310224	0.287694	0.284773	0.286929	0.289865	0.28763	0.297492	0.296161	0.380275	0.375147	0.386316	0.385283	0.380846	0.389681	0.381126	0.380831	0.376304	0.374214	0.378933	0.376457	0.398664	1	0.368355	0.265315	0.324306	0.30165	0.271923	0.377286	0.296385	0.271774	0.268948	0.311626	0.306407	0.30559	0.303298	0.309284	0.31245	0.302654	0.312641	0.300286	0.315227	0.301724	0.305179	0.306915	0.273547	0.256083	0.236599	0.269761	0.274512	0.251388	0.317039	0.274983	0.283655	0.316068	0.292735	0.286018	0.290345	0.297344	0.243414	0.266173	0.258532	0.268352	0.265657	0.267946	0.28037	0.28914	0.276545	0.286811	0.289121	0.286022	0.273035	0.275165	0.254889	0.275165	0.295369	0.298079	0.302812	0.301675	0.372766	0.291122	0.286934	0.287587	0.295049	0.286268	0.28678	0.284749	0.285181	0.279283	0.294004	0.286357	0.286716	0.290973	0.290017	0.293073	0.289723	0.291683	0.287162	0.287217	0.297985	0.286988	0.290592	0.291763	0.2977	0.287034	0.288709	0.299605	0.304494	0.288896	0.28964	0.162134	0.285975	0.289384	0.293252	0.28536	0.281625	0.284568	0.275218	0.284834	0.289015	0.262253	0.284307	0.287988	0.286979	0.285033	0.27925	0.290898	0.285476	0.287547	0.287286	0.261723	0.25075	0.285046	0.28523	0.286601	0.285521	0.287336	0.287853	0.287986	0.283219	0.28485	0.287465	0.283708	0.289991	0.284199	0.285489	0.304633	0.287498	0.27933	0.297966	0.291492	0.29545	0.290313	0.288143	0.285606	0.288786	0.288433	0.284723	0.281686	0.291114	0.236063
SRR14618086	0.291323	0.292667	0.267646	0.310498	0.337766	0.295213	0.259891	0.273901	0.25555	0.276683	0.275837	0.288508	0.298388	0.294802	0.292679	0.296148	0.290364	0.292848	0.289275	0.290901	0.3002	0.290782	0.288878	0.290116	0.29195	0.290343	0.29706	0.285833	0.410561	0.41496	0.407927	0.405132	0.417717	0.420234	0.411825	0.415643	0.4151	0.407685	0.407268	0.399057	0.406197	0.368355	1	0.266257	0.32479	0.304628	0.274904	0.405897	0.28907	0.266003	0.264841	0.309284	0.30499	0.304109	0.302516	0.307236	0.308425	0.301858	0.30481	0.28668	0.311932	0.301662	0.303835	0.303227	0.28063	0.259922	0.244248	0.273834	0.278925	0.257172	0.33846	0.279879	0.286602	0.312352	0.292881	0.287659	0.290398	0.296495	0.255386	0.276674	0.263904	0.279031	0.267865	0.269912	0.2795	0.285111	0.275308	0.275503	0.289597	0.287539	0.276954	0.280609	0.258144	0.280609	0.307091	0.308211	0.311538	0.311064	0.404702	0.28872	0.286288	0.286826	0.29115	0.285557	0.286263	0.284916	0.28556	0.280965	0.289749	0.286253	0.286416	0.288921	0.287852	0.290801	0.293395	0.295264	0.291172	0.291788	0.300535	0.291586	0.294738	0.294385	0.299197	0.291571	0.292182	0.298952	0.305257	0.292589	0.283147	0.155486	0.291552	0.282359	0.294102	0.288776	0.286131	0.290829	0.268751	0.276704	0.2795	0.238147	0.275549	0.278531	0.277936	0.276626	0.272189	0.280992	0.276849	0.27887	0.27878	0.255417	0.257027	0.276556	0.276417	0.277644	0.276785	0.278274	0.27879	0.278749	0.274601	0.277168	0.278426	0.275408	0.280321	0.27564	0.276733	0.292174	0.278155	0.271048	0.287934	0.282388	0.285356	0.281857	0.278879	0.276817	0.27918	0.27956	0.276332	0.273509	0.28128	0.242718
SRR5891799	0.30698	0.333973	0.276044	0.282388	0.273597	0.255442	0.264018	0.307939	0.295488	0.326035	0.319231	0.350397	0.308202	0.305956	0.303959	0.3077	0.302253	0.304547	0.301197	0.302966	0.310841	0.301995	0.299987	0.302487	0.303044	0.302355	0.307827	0.300258	0.267475	0.265509	0.279052	0.27248	0.275355	0.280073	0.268961	0.269447	0.267249	0.265792	0.268275	0.264045	0.281285	0.265315	0.266257	1	0.278555	0.320201	0.432187	0.268408	0.351252	0.29176	0.293134	0.315388	0.310558	0.310355	0.308126	0.311515	0.316551	0.31173	0.311171	0.292342	0.31713	0.307409	0.309049	0.313901	0.266733	0.294319	0.251327	0.290065	0.252769	0.255737	0.270931	0.319184	0.300708	0.317521	0.299785	0.303882	0.306513	0.309083	0.22332	0.252413	0.269417	0.25409	0.276292	0.273818	0.29438	0.267668	0.263728	0.313335	0.312719	0.277876	0.269749	0.269734	0.267388	0.269734	0.279318	0.280114	0.285253	0.282286	0.264411	0.255976	0.253323	0.253836	0.258303	0.253095	0.252652	0.251206	0.251507	0.248355	0.257828	0.252274	0.252958	0.255805	0.255367	0.257145	0.3272	0.32591	0.324798	0.32438	0.332992	0.327874	0.330751	0.331031	0.329946	0.323963	0.32345	0.331078	0.342371	0.330386	0.308002	0.149715	0.31057	0.338329	0.338414	0.319631	0.296973	0.312328	0.294157	0.293156	0.297358	0.246643	0.293687	0.295989	0.294838	0.294124	0.2883	0.298579	0.294451	0.296158	0.295979	0.276012	0.27816	0.2941	0.293596	0.295124	0.294496	0.294873	0.296228	0.296419	0.292184	0.292855	0.295934	0.292873	0.29761	0.293239	0.293626	0.308096	0.295699	0.289635	0.301511	0.297008	0.299726	0.295721	0.296037	0.294509	0.296542	0.295298	0.292983	0.290823	0.298722	0.26662
SRR5891805	0.285297	0.285183	0.254877	0.299193	0.303805	0.282308	0.300034	0.293455	0.285093	0.290923	0.303707	0.298434	0.291239	0.285541	0.283917	0.287698	0.280363	0.283529	0.279946	0.28143	0.295492	0.281452	0.278707	0.280613	0.282737	0.281121	0.28858	0.328044	0.334265	0.327732	0.350015	0.346145	0.334881	0.339777	0.335594	0.332809	0.329526	0.331689	0.338182	0.342612	0.346383	0.324306	0.32479	0.278555	1	0.302522	0.275595	0.334473	0.299914	0.28366	0.282446	0.299471	0.295805	0.294782	0.292961	0.297327	0.299693	0.293032	0.296893	0.280626	0.301843	0.291937	0.294399	0.29785	0.286804	0.289838	0.27964	0.267418	0.265337	0.246309	0.300448	0.272196	0.277505	0.302632	0.285664	0.279593	0.282943	0.288333	0.241583	0.260146	0.254232	0.260799	0.308795	0.297232	0.308317	0.282677	0.283291	0.311797	0.285321	0.298913	0.290892	0.291884	0.294753	0.291884	0.284628	0.287348	0.290548	0.289632	0.336373	0.275851	0.272654	0.272968	0.278679	0.272226	0.272603	0.270829	0.270465	0.267221	0.277724	0.271942	0.272489	0.27569	0.27523	0.277591	0.281334	0.283221	0.279588	0.279589	0.288357	0.279669	0.282685	0.283156	0.288715	0.279217	0.281482	0.289025	0.293245	0.280896	0.294012	0.15597	0.277962	0.294775	0.287036	0.282214	0.281328	0.276743	0.310871	0.319484	0.327269	0.264939	0.323332	0.324723	0.324251	0.323351	0.31587	0.332353	0.328544	0.325991	0.325874	0.308536	0.292598	0.325139	0.324581	0.324792	0.327133	0.324005	0.325111	0.325799	0.320561	0.319099	0.325649	0.32641	0.324615	0.323694	0.322606	0.341116	0.329685	0.316506	0.324436	0.322122	0.325266	0.319464	0.322522	0.323633	0.328206	0.319528	0.322496	0.318608	0.333079	0.239714
SRR5891903	0.317704	0.345634	0.293738	0.311447	0.300043	0.278901	0.276032	0.28872	0.270962	0.289419	0.294145	0.295064	0.322078	0.317573	0.315364	0.319914	0.313104	0.316128	0.312025	0.314573	0.327589	0.313207	0.31117	0.313615	0.31456	0.313763	0.320507	0.306949	0.307313	0.30405	0.315324	0.31155	0.314691	0.319204	0.308845	0.30937	0.307222	0.305076	0.308585	0.303617	0.321871	0.30165	0.304628	0.320201	0.302522	1	0.332483	0.307656	0.297446	0.27788	0.27766	0.329164	0.323674	0.323678	0.320603	0.325194	0.330718	0.324865	0.326335	0.307812	0.331582	0.319998	0.322373	0.326511	0.323928	0.299761	0.287036	0.298086	0.27046	0.270928	0.299209	0.327192	0.311734	0.331924	0.310272	0.314664	0.317747	0.320902	0.242678	0.269531	0.284889	0.271138	0.292795	0.299568	0.31342	0.313016	0.313187	0.298876	0.348653	0.331817	0.306587	0.314039	0.292542	0.314039	0.297416	0.298679	0.304361	0.300778	0.304511	0.274605	0.27133	0.272007	0.277013	0.271026	0.270767	0.26904	0.269142	0.265776	0.276817	0.2702	0.270758	0.274373	0.273738	0.275783	0.3401	0.33949	0.337183	0.337078	0.34775	0.341225	0.344131	0.34515	0.343909	0.335893	0.335058	0.345527	0.357772	0.343895	0.292604	0.155663	0.32299	0.336083	0.356245	0.328562	0.325779	0.328046	0.291618	0.296063	0.301297	0.256357	0.298851	0.302342	0.299993	0.297361	0.290806	0.306242	0.301259	0.299146	0.299065	0.279602	0.287725	0.299055	0.300618	0.300381	0.298216	0.29889	0.300064	0.301254	0.295372	0.295831	0.300147	0.297747	0.301738	0.298637	0.296748	0.31478	0.30133	0.294532	0.306115	0.301063	0.304877	0.299713	0.300558	0.298572	0.300614	0.298804	0.296207	0.295902	0.3026	0.276655
SRR5891920	0.332293	0.385285	0.289261	0.292373	0.28394	0.262655	0.252521	0.291391	0.275411	0.305851	0.298839	0.324126	0.330326	0.330269	0.327872	0.331681	0.32653	0.328072	0.325554	0.327018	0.332057	0.326117	0.32462	0.327535	0.32585	0.326503	0.331817	0.289802	0.276313	0.27478	0.289654	0.281585	0.284183	0.288629	0.277458	0.278886	0.276341	0.274615	0.277438	0.27267	0.289363	0.271923	0.274904	0.432187	0.275595	0.332483	1	0.277271	0.325516	0.278244	0.279556	0.345481	0.33691	0.336317	0.333462	0.338017	0.345694	0.341276	0.339732	0.317631	0.348774	0.333693	0.334845	0.339143	0.266157	0.292222	0.241736	0.303593	0.262308	0.267583	0.280572	0.347247	0.327326	0.347623	0.319574	0.327488	0.329966	0.334849	0.228204	0.261977	0.285219	0.264947	0.265123	0.267484	0.289328	0.268923	0.262736	0.292751	0.33373	0.27607	0.265714	0.267733	0.257742	0.267733	0.293731	0.29269	0.298465	0.295117	0.273407	0.264203	0.261704	0.262478	0.266611	0.261417	0.261466	0.2599	0.260655	0.25699	0.265717	0.260735	0.261356	0.264078	0.263371	0.265675	0.382207	0.37535	0.37642	0.377011	0.393463	0.386101	0.390008	0.389847	0.37942	0.37374	0.370368	0.379198	0.414776	0.391543	0.296762	0.151528	0.353888	0.349102	0.389064	0.356025	0.309931	0.35592	0.275057	0.281185	0.284365	0.239433	0.280417	0.282949	0.282178	0.281205	0.276213	0.28548	0.281374	0.283338	0.28331	0.261702	0.267955	0.281483	0.280942	0.282681	0.281246	0.282628	0.283963	0.283579	0.279469	0.281482	0.283561	0.279997	0.284963	0.280692	0.28065	0.295443	0.282767	0.276269	0.29166	0.286303	0.289257	0.285781	0.283662	0.281654	0.283786	0.283559	0.280566	0.278514	0.286023	0.279258
SRR8835167	0.294244	0.295677	0.267729	0.31476	0.334088	0.29713	0.262962	0.277711	0.258975	0.279947	0.278953	0.291967	0.299678	0.294424	0.292928	0.296713	0.290056	0.292868	0.289061	0.290698	0.304352	0.290642	0.288449	0.290056	0.291954	0.290381	0.297952	0.289501	0.417279	0.414345	0.405811	0.412277	0.409134	0.412288	0.417071	0.419828	0.415822	0.414202	0.417442	0.40553	0.416584	0.377286	0.405897	0.268408	0.334473	0.307656	0.277271	1	0.292932	0.269127	0.268267	0.309789	0.305461	0.304869	0.303165	0.307744	0.309834	0.303169	0.306268	0.288728	0.312897	0.30228	0.30466	0.306285	0.281442	0.262185	0.244174	0.274113	0.278805	0.257525	0.335369	0.279465	0.286386	0.313378	0.293632	0.288369	0.291593	0.297243	0.254459	0.275681	0.265132	0.278201	0.268573	0.270882	0.281796	0.287247	0.276046	0.279948	0.291435	0.289957	0.277501	0.28051	0.259287	0.28051	0.305374	0.307379	0.310524	0.310062	0.412886	0.289984	0.287188	0.2876	0.292699	0.28657	0.286854	0.285593	0.285932	0.281346	0.291634	0.286691	0.287079	0.289895	0.288842	0.292366	0.292825	0.295179	0.290892	0.291383	0.301008	0.291453	0.294448	0.294938	0.299675	0.290825	0.292055	0.299715	0.305424	0.29281	0.286337	0.157759	0.291847	0.286452	0.29613	0.289986	0.287447	0.291213	0.271561	0.280221	0.283416	0.24319	0.279136	0.282086	0.281529	0.280289	0.275227	0.284585	0.280088	0.28245	0.28232	0.258784	0.258598	0.280098	0.279853	0.281566	0.280259	0.282306	0.282401	0.282346	0.278234	0.28035	0.2821	0.278702	0.284278	0.279168	0.280302	0.29618	0.281994	0.274465	0.291814	0.285946	0.288964	0.285228	0.282504	0.280688	0.283316	0.282914	0.279835	0.276869	0.285142	0.244634
SRR5891873	0.308753	0.30382	0.250456	0.299107	0.295804	0.277269	0.27535	0.375717	0.349015	0.40571	0.38973	0.522255	0.318162	0.309545	0.307477	0.312522	0.303443	0.30757	0.30219	0.304379	0.32464	0.304006	0.301005	0.303088	0.306223	0.30407	0.314142	0.352791	0.291321	0.288686	0.310796	0.298894	0.300612	0.308594	0.293281	0.294263	0.291164	0.289379	0.29298	0.287343	0.311587	0.296385	0.28907	0.351252	0.299914	0.297446	0.325516	0.292932	1	0.350599	0.349213	0.329464	0.325461	0.323905	0.322107	0.328142	0.330195	0.320373	0.328218	0.311008	0.33387	0.320589	0.323648	0.327201	0.28527	0.283897	0.260042	0.286762	0.27204	0.251093	0.284694	0.289023	0.299668	0.334426	0.31208	0.302336	0.306631	0.314568	0.235942	0.263563	0.260336	0.265898	0.297658	0.298464	0.308331	0.298236	0.287853	0.370079	0.294984	0.300719	0.29228	0.292077	0.285712	0.292077	0.293669	0.2956	0.301666	0.300463	0.287152	0.288681	0.284957	0.285593	0.292535	0.284257	0.284818	0.28306	0.283084	0.277644	0.291004	0.28424	0.284692	0.288848	0.287949	0.290527	0.301463	0.303562	0.298847	0.299395	0.309475	0.298178	0.301899	0.303105	0.310688	0.299032	0.301366	0.311761	0.316109	0.300423	0.376773	0.171503	0.295687	0.341746	0.305529	0.296732	0.285474	0.293148	0.339397	0.340134	0.344939	0.293175	0.340282	0.343728	0.342516	0.341214	0.334001	0.347469	0.34182	0.344309	0.344191	0.313331	0.273865	0.340629	0.340614	0.342408	0.341768	0.342753	0.344106	0.344343	0.337937	0.340156	0.343064	0.339183	0.346242	0.339812	0.340668	0.362245	0.343117	0.334083	0.355845	0.348692	0.352708	0.347297	0.34391	0.341021	0.344279	0.345374	0.339872	0.337194	0.347822	0.239885
SRR5891700	0.280927	0.276969	0.232948	0.275097	0.271743	0.256492	0.268677	0.333623	0.317464	0.335855	0.338935	0.349779	0.289337	0.281779	0.28001	0.284479	0.276266	0.280116	0.275226	0.277312	0.294973	0.27717	0.274324	0.276266	0.279131	0.27708	0.285771	0.338736	0.267987	0.265414	0.284228	0.274391	0.276023	0.282983	0.269339	0.27025	0.26758	0.266005	0.269198	0.264061	0.285549	0.271774	0.266003	0.29176	0.28366	0.27788	0.278244	0.269127	0.350599	1	0.474295	0.298282	0.294833	0.293658	0.292019	0.297185	0.29912	0.290701	0.297126	0.282023	0.301775	0.290804	0.293407	0.296815	0.270035	0.274333	0.253901	0.263411	0.250722	0.232401	0.261885	0.264789	0.27335	0.302236	0.283668	0.275843	0.279488	0.285891	0.220072	0.243398	0.240681	0.24529	0.289801	0.293196	0.291372	0.278297	0.271608	0.337549	0.272326	0.283897	0.282106	0.281488	0.27958	0.281488	0.268567	0.270452	0.275863	0.274793	0.264169	0.264486	0.261108	0.261716	0.267791	0.260545	0.261073	0.259414	0.259427	0.255006	0.266437	0.260461	0.260881	0.264495	0.263853	0.266037	0.274283	0.276056	0.272168	0.272509	0.281053	0.271397	0.274856	0.276042	0.282112	0.272112	0.274448	0.283396	0.286543	0.273093	0.347674	0.159218	0.26968	0.299844	0.279123	0.272129	0.264643	0.267613	0.327635	0.328729	0.336018	0.278863	0.328938	0.335323	0.335151	0.332901	0.328541	0.336572	0.332	0.335101	0.33501	0.309211	0.268311	0.332372	0.335059	0.335609	0.333449	0.333869	0.336654	0.335852	0.330631	0.329579	0.336362	0.331948	0.337173	0.331655	0.331624	0.347902	0.334686	0.325647	0.341145	0.335791	0.339753	0.33333	0.336181	0.333408	0.335532	0.333393	0.331165	0.329282	0.337612	0.223766
SRR5891755	0.280602	0.276328	0.233319	0.273383	0.271005	0.256472	0.272347	0.3333	0.321935	0.337839	0.341884	0.347496	0.287735	0.280905	0.279112	0.283182	0.27556	0.279084	0.274371	0.276458	0.293135	0.276255	0.273449	0.275548	0.278061	0.276276	0.284657	0.340007	0.266914	0.264402	0.282199	0.273155	0.274691	0.281359	0.268152	0.269183	0.266461	0.264632	0.268035	0.262965	0.283641	0.268948	0.264841	0.293134	0.282446	0.27766	0.279556	0.268267	0.349213	0.474295	1	0.296578	0.293367	0.292145	0.29058	0.295465	0.297479	0.289156	0.294933	0.279604	0.300139	0.289322	0.291848	0.295874	0.271426	0.277353	0.257116	0.263388	0.249583	0.231631	0.261208	0.264269	0.272575	0.300283	0.282449	0.275025	0.27858	0.284716	0.219753	0.242867	0.239867	0.2448	0.293279	0.296461	0.292614	0.277626	0.270853	0.339729	0.271396	0.284378	0.283258	0.282683	0.283717	0.282683	0.267535	0.269183	0.274625	0.273419	0.263129	0.262289	0.259097	0.25959	0.265506	0.258377	0.258854	0.257336	0.257358	0.253009	0.264079	0.258325	0.258712	0.262315	0.261581	0.263759	0.273083	0.274959	0.271112	0.271414	0.27939	0.27062	0.273712	0.274705	0.280794	0.271426	0.273341	0.282005	0.285024	0.272224	0.346787	0.158075	0.268286	0.2995	0.278612	0.271525	0.264213	0.267158	0.331789	0.333321	0.340187	0.276851	0.331406	0.337161	0.337488	0.336278	0.332365	0.340155	0.335836	0.33849	0.338629	0.31456	0.272347	0.336905	0.338314	0.339321	0.336285	0.33787	0.341285	0.338805	0.334935	0.333483	0.339977	0.334416	0.341154	0.333499	0.334682	0.348549	0.33781	0.327887	0.341666	0.338215	0.340505	0.334087	0.339992	0.337001	0.338669	0.336508	0.334737	0.331179	0.339357	0.223973
SRR14617982	0.414838	0.383268	0.289911	0.321405	0.31534	0.289914	0.265336	0.31002	0.285808	0.312807	0.310902	0.329321	0.417394	0.414068	0.410606	0.415857	0.408965	0.412857	0.407831	0.408743	0.417777	0.408523	0.407086	0.408446	0.408088	0.409322	0.42032	0.324683	0.310799	0.308241	0.333092	0.318768	0.319961	0.327516	0.312901	0.314105	0.310625	0.309039	0.312704	0.306708	0.329933	0.311626	0.309284	0.315388	0.299471	0.329164	0.345481	0.309789	0.329464	0.298282	0.296578	1	0.558408	0.558463	0.542191	0.547156	0.655891	0.595356	0.583026	0.533841	0.619773	0.550293	0.553156	0.537772	0.290302	0.294186	0.252537	0.435141	0.297301	0.281343	0.316604	0.355353	0.512093	0.63207	0.46363	0.455222	0.458322	0.488419	0.249207	0.292075	0.296559	0.298655	0.284063	0.288262	0.309137	0.304734	0.290958	0.311949	0.335168	0.302285	0.291904	0.293229	0.273402	0.293229	0.337733	0.337518	0.344685	0.342085	0.307008	0.306498	0.303094	0.303785	0.310278	0.30251	0.303177	0.301289	0.302612	0.295899	0.308297	0.302532	0.303309	0.306693	0.305775	0.308935	0.395528	0.395991	0.390623	0.392865	0.403327	0.387541	0.392322	0.391973	0.405027	0.391289	0.39616	0.402603	0.407963	0.390461	0.321003	0.173345	0.379931	0.337403	0.380371	0.368599	0.320928	0.374547	0.301445	0.311958	0.315533	0.273515	0.311041	0.314631	0.313664	0.311796	0.306706	0.317751	0.312349	0.315303	0.315114	0.284508	0.272906	0.311771	0.311943	0.313649	0.312662	0.314134	0.315211	0.314533	0.309598	0.312369	0.314415	0.309934	0.316864	0.310799	0.312171	0.333223	0.314528	0.305442	0.327301	0.319563	0.323989	0.319029	0.314835	0.312468	0.315605	0.316621	0.311659	0.308111	0.318522	0.273509
SRR14617985	0.401537	0.371256	0.285552	0.315863	0.310649	0.286417	0.263089	0.305987	0.282692	0.309375	0.307345	0.3253	0.404031	0.400352	0.397616	0.403117	0.396297	0.400135	0.395066	0.396528	0.404046	0.395732	0.394854	0.395408	0.396378	0.396756	0.405511	0.31999	0.306705	0.304167	0.327165	0.314737	0.315665	0.322429	0.308428	0.310065	0.306686	0.305287	0.308344	0.302583	0.324568	0.306407	0.30499	0.310558	0.295805	0.323674	0.33691	0.305461	0.325461	0.294833	0.293367	0.558408	1	0.623344	0.616339	0.617497	0.543471	0.514036	0.518583	0.477869	0.543829	0.618879	0.616479	0.596699	0.28744	0.290248	0.250621	0.433659	0.294141	0.27774	0.312618	0.347477	0.471578	0.570343	0.498964	0.428244	0.430934	0.453754	0.247434	0.288375	0.291706	0.293107	0.281439	0.285543	0.304916	0.300367	0.28746	0.307956	0.328714	0.298714	0.288633	0.290155	0.271236	0.290155	0.331819	0.331878	0.337695	0.335714	0.303125	0.302342	0.298877	0.299722	0.305753	0.298248	0.298794	0.297027	0.298472	0.292342	0.303692	0.298567	0.298915	0.302259	0.301513	0.304023	0.382034	0.381794	0.377344	0.379295	0.389005	0.374361	0.37939	0.379602	0.391834	0.378423	0.382526	0.388776	0.393858	0.377558	0.317263	0.17104	0.366981	0.329983	0.369315	0.357707	0.315332	0.362797	0.297924	0.308062	0.311442	0.269069	0.30703	0.310424	0.309541	0.307743	0.302796	0.313791	0.308603	0.311402	0.31121	0.281568	0.269746	0.307785	0.30796	0.308992	0.308782	0.31049	0.311009	0.310417	0.305543	0.308308	0.310591	0.306144	0.312708	0.306938	0.308331	0.328631	0.31046	0.301299	0.323236	0.315521	0.319263	0.314849	0.310585	0.308162	0.311332	0.312308	0.307461	0.304152	0.314242	0.269846
SRR14617986	0.401373	0.370558	0.285487	0.315389	0.309969	0.285664	0.262571	0.305128	0.281856	0.308154	0.306168	0.323851	0.404963	0.400986	0.398999	0.402958	0.397393	0.400427	0.395492	0.397492	0.404586	0.396182	0.396262	0.395448	0.396477	0.398243	0.405655	0.319166	0.305749	0.303402	0.326216	0.313711	0.314873	0.321611	0.308077	0.309337	0.305912	0.304202	0.307751	0.30177	0.323759	0.30559	0.304109	0.310355	0.294782	0.323678	0.336317	0.304869	0.323905	0.293658	0.292145	0.558463	0.623344	1	0.63016	0.626149	0.548644	0.514288	0.518148	0.480827	0.543932	0.637785	0.635055	0.606192	0.286475	0.290342	0.249821	0.43206	0.292963	0.277709	0.31128	0.348342	0.482505	0.577466	0.498983	0.428864	0.43162	0.451194	0.24678	0.287636	0.29232	0.294019	0.280167	0.284609	0.304894	0.299456	0.286502	0.306988	0.328464	0.297787	0.287828	0.289144	0.270546	0.289144	0.330143	0.330682	0.336796	0.334483	0.302617	0.301293	0.29774	0.298757	0.304676	0.29738	0.297664	0.295995	0.297228	0.291083	0.302828	0.297492	0.297848	0.301292	0.300485	0.303268	0.38196	0.382182	0.377425	0.379746	0.388801	0.373993	0.379317	0.379493	0.391401	0.379731	0.3821	0.388706	0.392868	0.376921	0.31579	0.170387	0.366336	0.32981	0.369034	0.356506	0.314875	0.361554	0.297089	0.307119	0.310356	0.268196	0.306083	0.309406	0.308611	0.306535	0.301658	0.312655	0.307473	0.309955	0.309754	0.280614	0.26963	0.306597	0.30688	0.308137	0.307648	0.309218	0.30998	0.30951	0.304435	0.307152	0.309346	0.304839	0.311727	0.306004	0.307049	0.327203	0.309115	0.300397	0.321672	0.314122	0.31841	0.313851	0.309545	0.307308	0.310132	0.311284	0.306384	0.30315	0.313112	0.269972
